name	text	tagged
Gazi Akdogan	NICE.	
		
		
Ademilson Gomes	E bom de mais!!!!'	
Roberta Neves	Quero tanto ir ???? mas os preços são autos, não sei qdo conseguirei!!????	
Adriana Basso	Eu vou querer,chego dia 11/01com a família	
Gildeon Mattos	Fiquei chateado, ontem fui ao Beach Park quando entrei no brinquedo com meus dois amigos pedi a moça que estava lá pra que eu não fosse de costas pq eu não sabia nadar e sabe o que ela fez? Me mandou de costa e ainda falou que era pra eu deixar de ser retardado... fiquei com ódioooooooo!	
Danusia Freires	Isso já existe há quase dois anos aff...que falta de novidade.	
Carla Azevedo	O Rafael realmente é excelente!!! O álbum do meu filho ficou lindo!!! Recomendo	
Andrea Lima	Rafael é o melhor! Estive ai com voces, contratei o servico e fiquei muito satisfeita! Obrigadaaaa!	
Indiara Ingride	Arrazou beach Park...	
Ronaldo Cesar	Amei passar esse domingão  com vcs aí ....	
TAll Do Felipe	É sim	
Lucas Joze	Ideia boa, show de bola	
Angelita Woruby	muito bom esse serviço	
Andréia Martins	Já estou com saudades.	
Bárbara Garcia	quando eu fui aê não tinha isso ????	
Yasmim Castro	Show de bola '!	
Maria Eduarda	Ja fui 2 vezes que legal.....	
Adriana Almeida	Faca sua reserva e efetue a compra com a Boll Turismo e ganhe 01 diaria!!!!	
Jeane Rodrigues	E quanto custa ?	
Silvana Barreto	AH se eu soubesse teria contratado ralei p fotografar meus filhos kkkkkkk	
Consuelo Maria Duarte	Nossa! Que maravilha!  E quanto custa esse serviço?	
Marcela Ferreira Carneiro	Fui sexta-feira!!!! Mais uma vez, amei!!!!!	
Carlos Cesar Alves Rocha Rocha	https://www.facebook.com/profile.php?id=678777832138388&ref=ts&fref=ts	
Claudiomar Albuquerque	Minhas filhas amam!!!	
Sarah Da Silva Costa	Quando eu fui pro balde ele me matou	
Renata Becker	Fabíola Campillo vi essa foto e lembrei muito de vocês amiga. Que saudades!!!  Bjs	Fabíola Campillo
Ellen Costa	Tati Monteiro Shirlane Costa Dirlei Freitas Luan Victor Mello Freitas	Tati Monteiro
		Shirlane Costa
		Dirlei Freitas
		Luan Victor Mello Freitas
Joliaine Santos	Vamos pessoal Hoerlian Brasil Maria Ines Souza Gisley Oliveira Pollyana Trindade Kelry Ribeiro Uesley Coser Gabriella Barbosa ...	Hoerlian Brasil
		Maria Ines Souza
		Gisley Oliveira
		Pollyana Trindade
		Kelry Ribeiro
		Uesley Coser
		Gabriella Barbosa
Vivian Renata	\O/	
Ge Alves	Estive lá é muito bom o Eduardo meu filhote curtiu muito aqua show.....	
Bruna Dannyelle	Fernando Ribeiro	Fernando Ribeiro
Suzana Spreckelsen	Sorte que tenho que acompanhar meu pequeno. Esse balde é 10!	
Milly Nery	Adoro!!	
Daniele Ferreira Rodrigues Ciarlini	Minha filha adora!	
Levii Silveiira Barros	Vdd o/	
Amanda Chaves	Desci no Amarelinho! Kk	
Paula Veiga	Riquelme adorou	
Inez Lima	Passei aí	
Poliana Oliveira	Maria Auxiliadora Ribeiro da Silva	Maria Auxiliadora Ribeiro da Silva
Maria Eduarda	Va fui 2 vezes	
Alessandra Rabelo	Os meus amam....	
Andreza Hoffmam	Gustavo Guimarães *-*	Gustavo Guimarães
Silvana Barreto	Meus filhós amaram	
Aparecida Da Silva Piccoli	Muito legal! Eu e minha sobrinha Yaya ficavamos esperando o baldáo encher e cair aquele mundão de agua sobre nós	
Cristiane Martins Rodrigues	Bruno boa opção para ir com o Leo..	Bruno
Julia Oliveira	Massa	
Janaina Silva	O/ adoro	
Michele Martins	Esse brinquedos é o máximo??????	
Daniela Pretendente	Delícia !! Esses com bóias eu amo pq são mais suaves rs ! Fui em todos :D	
Indiara Ingride	Show.amooo e amoo,estarei ai na sexta	
Airam Santos	Eu sei que vou conseguir chegar ai e me diverti se Deus quiser	
Alzira Flávio	Ansiosa :)	
Ana Paczcol	Que delícia	
Fabiana Dos Santos Fabiana	Ai que saudade??	
Risalva Reis	Show !!!!!!	
Vanessa de Paula	Pega tua bóia burguesinha! Josii Paixão!!	Josii Paixão
Jaqueline Salles	Wesley Salles	Wesley Salles
Mariana Müller	Eu fui no Ramu Brinka é mt bom !	
Emile Ravele Lovato	qual é esse brinqueddo?	
Luma Gabrielle	Show demais! Adoroo ????????	
Yasmin Emanuelly	Bom	
Marcos Martins	Olha  o Insano amor Laryssa Sylva! :D	Laryssa Sylva
Renata Chagas Collyer	obaaa falta uma semana	
Manuela Ritterbusch Quaini	eu fui e vou voltar em 2016 ameiii	
Rosilene Queiroz	Lindo	
Joao Bosco Santos	Show!	
Elizeu Paes	Estive aí em julho. Praia espetacular.	
Andreia Silva	Muito lindaaaa!	
Thais Favareto	Desejo	
Paula Gomes	Sara Neves	Sara Neves
Ivan Geraldo Juski	Estaremos em breve ae..... Chega dia 27/12 Sara Felipe Silvana	Sara
		Felipe
		Silvana
Carla Carvalho Fonseca	Já quero de novo *-* Steferson Souza Thaty Brito Meiriane Cipriano Michele Paulino Magna AmaroGracianne Magalhaes Kelly Ferreira	Steferson Souza
		Thaty Brito
		Meiriane Cipriano
		Michele Paulino
		Magna Amaro
		Gracianne Magalhaes
		Kelly Ferreira
Joyce Teles	Oii rosa, oii verde, oii cápsula <3 Thamires	Thamires
Ananda Santiago	Viktor Judah	Viktor Judah
João Paulo Basso	bora mô Larissa Souza	Larissa Souza
Vania Mega Fly	Maravilhoso!!	
Cleidinha Barros	Arrepiuus <3 já ir de novo!	
Izabele Morial Canela	especial pra você Meire Pontes Tribucci... está chegando!!!	Meire Pontes Tribucci
Tamires Doors	Italo Alves olha isso <3	Italo Alves
Sarize Polizelli	Topo!! Porque não?	
Ligia Adrielly	Olhem isso Elisangela Rocha...Cesar Poliseli...Marlon Barbosa e Sarize Polizelli...quem topa ?eu to fora kkkkkkkk.....	Elisangela Rocha
		Cesar Poliseli
		Marlon Barbosa
		Sarize Polizelli
Bianca Bueno	Saudades!!!??????	
Eliane Afonso	Ano que  vem estarei  aí	
Victor Almeida	que saldades :`(	
Paula Veiga	É maravilhoso!!!	
Camila Lima	Arrepius é o melhor ?	
Mariana Thomé da Silva	É maravilhoooso!!! Quero voltar..Fui umas 3 vezes nesse	
Júnio Gommez	pro cimo destino Francielle Olliveiraa	Francielle Olliveiraa
Yasmin Emanuelly	Vou lá de novo	
Stephanie Raquel	é muito legal o arrepius e bem alto	
Larissa Campos	Gabriel ?? olha isso	Gabriel
Priscila Vieira de Paula	amo esse lugar !	
Mariana Müller	Mt bom !!!! Ameiiii ??	
Alinne Moraes	Bom demais	
Janaina Silva	Ja briquei no roxo e no verde mas quero ir na capisula	
Anne Figueiredo	Necessitoooo	
Heloisa Alves Oliveira Queiroz	Uhuuuuuuu!!!!! Bom demais!!! Milena Alves Rodrigues Tartuce!!	Milena Alves Rodrigues Tartuce
Maria Helena Mendes	Shou.	
Milena Alves Rodrigues Tartuce	Heloisa Alves Oliveira Queiroz  olha o q te espera!!! Lindo....	Heloisa Alves Oliveira Queiroz
Ry-an Castro	Eu fuiii	
Laura Morais	Domingo  de novo tamou lá	
Pamela Herrera	Matheus Bertassi	Matheus Bertassi
Lara Ribeiro	André Monteiro	André Monteiro
Nathalia Alves Matildes	Euuuu vou!!!! Uhuuuuu Thais Cândida Vieira	Thais Cândida Vieira
Elenizio Silva	Eu já fui e recomendo muito top.	
Natália Oliveira	Como não se apaixonar Patricia Oliveira??	Patricia Oliveira
Lais Oliveira	Melhor impossível	
Joao Ferreira	Beach park em março eu vejo vcs!	
Fatima Dias	Tudo de bom kkkkk	
Juliana Rodrigues	Alex Chammas Franco olha essa foto mo, novos brinquedos ^^ quero de novo hahahaha	Alex Chammas Franco
Douglas Santos Barbosa	Uiiiaaa Fatima Dias...	Fatima Dias
Manomad Mad Mad	Beautiful place.I like it.	
Thiago Carvalho	Meu Deus Amoor Gliciane Andrade imagine nois descendo daqui... Aiiiii que adrenalina. Minha princesa <3	Gliciane Andrade
Jéssica Guermandi	Adoroo!!	
Daniel Cunha Oliveira	Top	
Thais Sena	Paulinha Sena	Paulinha Sena
Samuel Sousa	menos na capsula	
Samuel Sousa	ja fui em todos , muito massa	
Aline Costa	Daiane Leite	Daiane Leite
Marcos Martins	Esse é fichinha amor Laryssa Sylva!  :D	Laryssa Sylva
Pedro Henry Macaíba	demaiiiiiiiiiiiis	
Daniel Silva	Muito lindo esse lugar	
Florine Alves	Vanessa Stéphanie vamos pra la	Vanessa Stéphanie
Rogerio Alves	Inesquecível ,quem foi aposto nunca esquece	
Rebeca Sousa	noix vms Rebeca Ferreira  hahaha <3	Rebeca Ferreira
Franciellen Lima	S2	
Sarah Da Silva Costa	Eu fui no roxo <3 foi massa eu fiquei rindo demais n sei pq '-'	
Juliane Mendonca	eu fuiiiiiii	
Maria Regina LS	Amei ir ai	
Hazar Naaman Merehbi	Poliane Moraabi Vania Mega Fly não vejo a hora !!!!!????????????????	Poliane Moraabi
		Vania Mega Fly
Sonia Luiza R. Zittlau	Renata Maria Longo :D #SóVem2015 :3 :3	Renata Maria Longo
Christine Gabriel	Rafaela Maklouf	Rafaela Maklouf
Vítor Meireles	Sarah mow bora de novo! =>	Sarah
Matheus Batista	Que pena eu queria essa foto	
Kariane Silva	Bom demais	
Roberlãnio Menssala	Saudades...	
Rosangela Correia	Delicia. ...... eu fuiiiiii	
Tony Jhonny	Muito bom	
Heloisa Gadelha	Ai ai olha MikaeLine FeiTosa...eu quero:-(	MikaeLine FeiTosa
Luma Gabrielle	Beach Park <3 Correnteza Encantada <3	Beach Park
Ronaldo Silva	rio lento!!!!	
Sonia Oliveira	Já fui e quero bis	
M Clara L Maxwell	Adoooooroooooo essa correnteza	
Anthony D'Karllos	Oooh saudades desse lugar maravilhoso ^_^	
Marisa Freitas	É td de bommm!!!!!	
Andrea Martins	Sonho. Saudades	
Karen Quelhas	Ta precisando relaxar Paulo Juruna Efamilia?	Paulo Juruna Efamilia
Michelle Da Silva Alves	sonho²	
Alex Luciana Silva	Oohhoo saudasesssss	
Aline Costa	Daiane Leite	Daiane Leite
Yasmin Emanuelly	Amo :*	
Christian Paulino	Ainda  vou neese park	
Eunides Pereira	Essa piscina de correnteza é massa!	
Jacqueline Prado	Mariane Souza rimos demais nessa correnteza encantada kkk	Mariane Souza
Luiiz Henriiquee	Muito bom pra relaxaa	
Nayara Oliveira	HAHAHAHAHHA Eu quero uma ilustração assim, gente!	
Christiane Torres	Hahahaha Adorei !!!	
Cleides Aparecida		
Janaina Toledo de Castro	Insano.... Linda imagem Beach Park, o park aquático mais da hora q já conheci,mas foi uma peninha ñ ter descido no Insano,eu subi tirei fotos do visul la no auto,mas desci pelas as escadas ñ tive coragem :/ Quem sabe na próxima né rsrsrs :D	Beach Park
Túh Costa	Ihuuuuul é hooooje!!!! #asinsanas Taynana Ribeiro e Andressa Dias	Taynana Ribeiro
		Andressa Dias
Soraya Nascimento	Maravilhosoooo. ameiii, adrenalina puraaaa	
Luan Verneck	Bora dnv Thiago k	Thiago
Kah Calazans	Thyago Oliveira Jonatas Ramos Daniel Torres	Thyago Oliveira
		Jonatas Ramos
		Daniel Torres
Mari Carvalho	Bora Priscila Souza rsrs	Priscila Souza
Katyara Araújo	Luiz Perotto	Luiz Perotto
Andressa Dias	Nós fomos pois não somos arregoonas hahaha Taynana Ribeiro	Taynana Ribeiro
Gabriela Leticia Ziglioli	Alexandre De SantesFernando Santes esse aqui :))	Alexandre De Santes
		Fernando Santes
Heloisa Gadelha	Vamos MikaeLine FeiTosa...	MikaeLine FeiTosa
Georgia Amorim Maia	Ja descir e show	
Sandro A. M. Rocha	Israel Marquini e Denyse Evany	Israel Marquini
		Denyse Evany
Pedro Levi	Amanhã estarei aí!	
Ivy Denadai	Que saudade	
Fagner Borges	Kkkkkkkkk fomos	
Pedro Junior	Coração na mão.	
Alessandro Lesiuk	eu vou	
Leticia Chaves	Eun fui, e mt top	
Tatiane Lopes	Eu fui !!!! Fagner Borges	Fagner Borges
Rafael Xavier	Laryana Ferreira	Laryana Ferreira
Andreza Kelly	Não tenho coragem ??	
Simoni Dion	Gad Gomes Gonzaga	Gad Gomes Gonzaga
Leonardo Gonçalves	Tenho muita vontade de ir ao Biack Park !!	
Arthur Kauê	Me faltou coragem. Kkk	
Socorro Marques	Lugar fantástico	
Juliana Lesiuk	olha bem meu amor, Alessandro Lesiuk, rs	Alessandro Lesiuk
Daniele Silva Do Nascimento	Loooucuraaaa !!! Só o beach Park pra proporcionar . Saudades !!!	
Victor Almeida	nao tenho coragem :3	
Priscila E. Samuel	Angela Chicoski e Tarcila Chicoski haha	Angela Chicoski
		Tarcila Chicoski
Danielle Rocha	Este insano é horripilante, mas eu teno saudades!!!	
Luma Gabrielle	Insano???? Melhor ????	
Ana Carolina Jonhnson	Tarcisio Nascimento quero vê se tu vai!! hahahahaha	Tarcisio Nascimento
Edmilson Neto	Muinto bom eu fui	
João Assunção	Insano	
Geisa Lima	Tamiles Ferreira	
Clarisse Menezes	Larisse Menezes	Larisse Menezes
Alexandro Rosa	e otimo muito bom	
Yasmin Emanuelly	Bom de mais	
Pathy Carvalho	Eu fui! Huhuhu	
Merelly Silva Eds	maravilhosso	
Vinícius Martinho	A parte mais tensa é subindo a escadaria...	
Vinícius Martinho	Mto maneiro.	
Ailson Fernandes	Insano mesmo!	
Francisco Elvis	e muito bom	
Maria Regina LS	Me lembro como se fosse hj eu ai no beach Parker	
Joao Ferreira	Eu fui ??????	
Jean Thales	Top demais qro dinovo	
Henrica Malka	#Amo Beach Park!	
Henrica Malka	muito adrenalina!!!!!!!!!!!!!!!!!!!!!!!!!	
Tercília Ximenes	Estamos chegando logo, logo...	
Alexandra Lagos	Julho estarei ai.	
Elisabete Tapajós Cunha	Muito bom!!!!	
Neiva Galizza	E ai vamos? Neto Carvalho	Neto Carvalho
Ronaldo Silva	esse ai eu to fora!!!!!!!!	
Maria Caroline Marega	Mds quero ir ????	
Wellesson Lucas Fec	nunca mais eu vou nessa porra	
Karine Abreu	Eu fui!  Amei	
Christiane Mansur	Lembra Luiza Luiza S. Mansur?!!	Luiza S. Mansur
Toninho Valmir	O melhor park Aquático do Brasil	
Damasceno Damasceno	"Aos interessados em adquirir o cartão Beach Card, maiores esclarecimentos ou alguma dúvida, estou a disposição... me ligue por favor...ou me envie um email ou coloque o seu email no comentário abaixo, que mandarei uma proposta do cartão sem compromisso OK? abçs a todos e sucesso, "" Porque a onda é ser feliz agora"" Beach Park Hotéis e Turismo Damasceno - Consultor de Vendas Cartão Beach Card (85) 8722-9493 Oi | (85) 9777-0872 Tim email: damasceno@beachpark.com.br"	
Sarah Da Silva Costa	Eu tenho medo de passar direto sou magra kkkk	
Lara Lopes	fui e vou denovo #beachpark #amodemais #insano	
Vanda Yara Rocha	ai .Guilherme  vai se aventurar
